sku,name,part_number,use_config_manage_stock,manage_stock,use_config_max_sale_qty,max_cart_qty,price
6LPTC3K-MSSW-ZNCR3W-2.6-3,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  2.6 X 3,6LPTC3K02.6003,0,0,0,8000,3
6LPTC3K-MSSW-ZNCR3W-2.6-4,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  2.6 X 4,6LPTC3K02.6004,0,0,0,8000,2
6LPTC3K-MSSW-ZNCR3W-2.6-5,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  2.6 X 5,6LPTC3K02.6005,0,0,0,8000,2
6LPTC3K-MSSW-ZNCR3W-2.6-6,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  2.6 X 6,6LPTC3K02.6006,0,0,0,7000,2
6LPTC3K-MSSW-ZNCR3W-2.6-8,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  2.6 X 8,6LPTC3K02.6008,0,0,0,6000,2
6LPTC3K-MSSW-ZNCR3W-3-5,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  3 X 5,6LPTC3K03005,0,0,0,5000,2
6LPTC3K-MSSW-ZNCR3W-3-6,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  3 X 6,6LPTC3K03006,0,0,0,4000,2
6LPTC3K-MSSW-ZNCR3W-3-8,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  3 X 8,6LPTC3K03008,0,0,0,3000,2
6LPTC3K-MSSW-ZNCR3W-3-10,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  3 X 10,6LPTC3K03010,0,0,0,3000,2
6LPTC3K-MSSW-ZNCR3W-3-12,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  3 X 12,6LPTC3K03012,0,0,0,4000,2
6LPTC3K-MSSW-ZNCR3W-3-15,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  3 X 15,6LPTC3K03015,0,0,0,3000,2
6LPTC3K-MSSW-ZNCR3W-3-16,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  3 X 16,6LPTC3K03016,0,0,0,3000,2
6LPTC3K-MSSW-ZNCR3W-3-20,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  3 X 20,6LPTC3K03020,0,0,0,2000,2
6LPTC3K-MSSW-ZNCR3W-4-5,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  4 X 5,6LPTC3K04005,0,0,0,3000,3
6LPTC3K-MSSW-ZNCR3W-4-6,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  4 X 6,6LPTC3K04006,0,0,0,3000,3
6LPTC3K-MSSW-ZNCR3W-4-8,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  4 X 8,6LPTC3K04008,0,0,0,3000,3
6LPTC3K-MSSW-ZNCR3W-4-10,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  4 X 10,6LPTC3K04010,0,0,0,2000,3
6LPTC3K-MSSW-ZNCR3W-4-12,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  4 X 12,6LPTC3K04012,0,0,0,2000,3
6LPTC3K-MSSW-ZNCR3W-4-14,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  4 X 14,6LPTC3K04014,0,0,0,2000,3
6LPTC3K-MSSW-ZNCR3W-4-15,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  4 X 15,6LPTC3K04015,0,0,0,2000,3
6LPTC3K-MSSW-ZNCR3W-4-16,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  4 X 16,6LPTC3K04016,0,0,0,1800,4
6LPTC3K-MSSW-ZNCR3W-4-18,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  4 X 18,6LPTC3K04018,0,0,0,1600,4
6LPTC3K-MSSW-ZNCR3W-4-20,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  4 X 20,6LPTC3K04020,0,0,0,1400,4
6LPTC3K-MSSW-ZNCR3W-4-25,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  4 X 25,6LPTC3K04025,0,0,0,1000,5
6LPTC3K-MSSW-ZNCR3W-4-30,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  4 X 30,6LPTC3K04030,0,0,0,1000,5
6LPTC3K-MSSW-ZNCR3W-4-35,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  4 X 35,6LPTC3K04035,0,0,0,800,6
6LPTC3K-MSSW-ZNCR3W-5-6,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  5 X 6,6LPTC3K05006,0,0,0,1600,4
6LPTC3K-MSSW-ZNCR3W-5-8,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  5 X 8,6LPTC3K05008,0,0,0,1600,4
6LPTC3K-MSSW-ZNCR3W-5-10,ZINC CR3 6-LOBE PIN TRUSS HEAD SCREW  5 X 10,6LPTC3K05010,0,0,0,1600,4
