sku,name,part_number,use_config_manage_stock,manage_stock,use_config_max_sale_qty,max_cart_qty,price
CUN3K-MSSW-ZNCR3W-4,ZINC CR3 CAP U-NUT (FUJISEIMTISU)  M4,CUN3K04,0,0,0,8000,46
CUN3K-MSSW-ZNCR3W-5,ZINC CR3 CAP U-NUT (FUJISEIMTISU)  M5,CUN3K05,0,0,0,6000,23
CUN3K-MSSW-ZNCR3W-6,ZINC CR3 CAP U-NUT (FUJISEIMTISU)  M6,CUN3K06,0,0,0,4000,26
CUN3K-MSSW-ZNCR3W-8,ZINC CR3 CAP U-NUT (FUJISEIMTISU)  M8,CUN3K08,0,0,0,2000,44
CUN3K-MSSW-ZNCR3W-10,ZINC CR3 CAP U-NUT (FUJISEIMTISU)  M10,CUN3K10,0,0,0,800,48
CUN3K-MSSW-ZNCR3W-12,ZINC CR3 CAP U-NUT (FUJISEIMTISU)  M12,CUN3K12,0,0,0,600,78
CUN3K-MSSW-ZNCR3W-14,ZINC CR3 CAP U-NUT (FUJISEIMTISU)  M14,CUN3K14,0,0,0,300,141
CUN3K-MSSW-ZNCR3W-16,ZINC CR3 CAP U-NUT (FUJISEIMTISU)  M16,CUN3K16,0,0,0,250,181
CUN3K-MSSW-ZNCR3W-20,ZINC CR3 CAP U-NUT (FUJISEIMTISU)  M20,CUN3K20,0,0,0,144,275
CUN3K-MSSW-ZNCR3W-22,ZINC CR3 CAP U-NUT (FUJISEIMTISU)  M22,CUN3K22,0,0,0,80,407
CUN3K-MSSW-ZNCR3W-24,ZINC CR3 CAP U-NUT (FUJISEIMTISU)  M24,CUN3K24,0,0,0,64,579
CUN3K-MSSW-ZNCR3W-27,ZINC CR3 CAP U-NUT (FUJISEIMTISU)  M27,CUN3K27,0,0,0,48,677
CUN3K-MSSW-ZNCR3W-30,ZINC CR3 CAP U-NUT (FUJISEIMTISU)  M30,CUN3K30,0,0,0,2,882
CUN3K-MSSW-ZNCR3W-36,ZINC CR3 CAP U-NUT (FUJISEIMTISU)  M36,CUN3K36,0,0,0,20,1507
