sku,name,part_number,use_config_manage_stock,manage_stock,use_config_max_sale_qty,max_cart_qty,price
GTCS-SCM435-BO-2-3,BLACK ULTRA LOW HEAD CAP SCREW  2 X 3,GTCS02003,0,0,0,1000,32
GTCS-SCM435-BO-2-4,BLACK ULTRA LOW HEAD CAP SCREW  2 X 4,GTCS02004,0,0,0,1000,30
GTCS-SCM435-BO-2-5,BLACK ULTRA LOW HEAD CAP SCREW  2 X 5,GTCS02005,0,0,0,1000,29
GTCS-SCM435-BO-2-6,BLACK ULTRA LOW HEAD CAP SCREW  2 X 6,GTCS02006,0,0,0,1000,29
GTCS-SCM435-BO-2-8,BLACK ULTRA LOW HEAD CAP SCREW  2 X 8,GTCS02008,0,0,0,1000,30
GTCS-SCM435-BO-2-10,BLACK ULTRA LOW HEAD CAP SCREW  2 X 10,GTCS02010,0,0,0,1000,30
GTCS-SCM435-BO-2-12,BLACK ULTRA LOW HEAD CAP SCREW  2 X 12,GTCS02012,0,0,0,1000,31
GTCS-SCM435-BO-2-14,BLACK ULTRA LOW HEAD CAP SCREW  2 X 14,GTCS02014,0,0,0,1000,31
GTCS-SCM435-BO-2-15,BLACK ULTRA LOW HEAD CAP SCREW  2 X 15,GTCS02015,0,0,0,1000,32
GTCS-SCM435-BO-2.5-4,BLACK ULTRA LOW HEAD CAP SCREW  2.5 X 4,GTCS02.5004,0,0,0,1000,31
GTCS-SCM435-BO-2.5-5,BLACK ULTRA LOW HEAD CAP SCREW  2.5 X 5,GTCS02.5005,0,0,0,1000,31
GTCS-SCM435-BO-2.5-6,BLACK ULTRA LOW HEAD CAP SCREW  2.5 X 6,GTCS02.5006,0,0,0,1000,32
GTCS-SCM435-BO-2.5-8,BLACK ULTRA LOW HEAD CAP SCREW  2.5 X 8,GTCS02.5008,0,0,0,1000,32
GTCS-SCM435-BO-2.5-10,BLACK ULTRA LOW HEAD CAP SCREW  2.5 X 10,GTCS02.5010,0,0,0,1000,33
GTCS-SCM435-BO-2.5-12,BLACK ULTRA LOW HEAD CAP SCREW  2.5 X 12,GTCS02.5012,0,0,0,1000,36
GTCS-SCM435-BO-3-4,BLACK ULTRA LOW HEAD CAP SCREW  3 X 4,GTCS03004,0,0,0,2000,19
GTCS-SCM435-BO-3-5,BLACK ULTRA LOW HEAD CAP SCREW  3 X 5,GTCS03005,0,0,0,2000,16
GTCS-SCM435-BO-3-6,BLACK ULTRA LOW HEAD CAP SCREW  3 X 6,GTCS03006,0,0,0,2000,15
GTCS-SCM435-BO-3-8,BLACK ULTRA LOW HEAD CAP SCREW  3 X 8,GTCS03008,0,0,0,2000,16
GTCS-SCM435-BO-3-10,BLACK ULTRA LOW HEAD CAP SCREW  3 X 10,GTCS03010,0,0,0,2000,16
GTCS-SCM435-BO-3-12,BLACK ULTRA LOW HEAD CAP SCREW  3 X 12,GTCS03012,0,0,0,2000,17
GTCS-SCM435-BO-3-14,BLACK ULTRA LOW HEAD CAP SCREW  3 X 14,GTCS03014,0,0,0,2000,18
GTCS-SCM435-BO-3-15,BLACK ULTRA LOW HEAD CAP SCREW  3 X 15,GTCS03015,0,0,0,2000,18
GTCS-SCM435-BO-3-16,BLACK ULTRA LOW HEAD CAP SCREW  3 X 16,GTCS03016,0,0,0,2000,19
GTCS-SCM435-BO-3-20,BLACK ULTRA LOW HEAD CAP SCREW  3 X 20,GTCS03020,0,0,0,2000,20
GTCS-SCM435-BO-4-4,BLACK ULTRA LOW HEAD CAP SCREW  4 X 4,GTCS04004,0,0,0,2000,16
GTCS-SCM435-BO-4-5,BLACK ULTRA LOW HEAD CAP SCREW  4 X 5,GTCS04005,0,0,0,2000,14
GTCS-SCM435-BO-4-6,BLACK ULTRA LOW HEAD CAP SCREW  4 X 6,GTCS04006,0,0,0,2000,14
GTCS-SCM435-BO-4-8,BLACK ULTRA LOW HEAD CAP SCREW  4 X 8,GTCS04008,0,0,0,2000,14
GTCS-SCM435-BO-4-10,BLACK ULTRA LOW HEAD CAP SCREW  4 X 10,GTCS04010,0,0,0,2000,15
GTCS-SCM435-BO-4-12,BLACK ULTRA LOW HEAD CAP SCREW  4 X 12,GTCS04012,0,0,0,2000,15
GTCS-SCM435-BO-4-14,BLACK ULTRA LOW HEAD CAP SCREW  4 X 14,GTCS04014,0,0,0,2000,16
GTCS-SCM435-BO-4-15,BLACK ULTRA LOW HEAD CAP SCREW  4 X 15,GTCS04015,0,0,0,2000,16
GTCS-SCM435-BO-4-16,BLACK ULTRA LOW HEAD CAP SCREW  4 X 16,GTCS04016,0,0,0,2000,17
GTCS-SCM435-BO-4-18,BLACK ULTRA LOW HEAD CAP SCREW  4 X 18,GTCS04018,0,0,0,1000,17
GTCS-SCM435-BO-4-20,BLACK ULTRA LOW HEAD CAP SCREW  4 X 20,GTCS04020,0,0,0,1000,17
GTCS-SCM435-BO-4-25,BLACK ULTRA LOW HEAD CAP SCREW  4 X 25,GTCS04025,0,0,0,1000,19
GTCS-SCM435-BO-4-30,BLACK ULTRA LOW HEAD CAP SCREW  4 X 30,GTCS04030,0,0,0,800,19
GTCS-SCM435-BO-4-35,BLACK ULTRA LOW HEAD CAP SCREW  4 X 35,GTCS04035,0,0,0,800,20
